ProductNumber,ProductName,ProductDescription,RetailPrice,QuantityOnHand,CategoryID
1,Trek 9000 Mountain Bike,,"1,200.00",6,2
2,Eagle FS-3 Mountain Bike,,"1,800.00",8,2
3,Dog Ear Cyclecomputer,,75.00,20,1
4,Victoria Pro All Weather Tires,,54.95,20,4
5,Dog Ear Helmet Mount Mirrors,,7.45,12,1
6,Viscount Mountain Bike,,635.00,5,2
7,Viscount C-500 Wireless Bike Computer,,49.00,30,1
8,Kryptonite Advanced 2000 U-Lock,,50.00,20,1
9,Nikoma Lok-Tight U-Lock,,33.00,12,1
10,Viscount Microshell Helmet,,36.00,20,1
11,GT RTS-2 Mountain Bike,,"1,650.00",5,2
12,Shinoman 105 SC Brakes,,23.50,16,4
13,Shinoman Dura-Ace Headset,,67.50,20,4
14,Eagle SA-120 Clipless Pedals,,139.95,20,4
15,ProFormance Toe-Klips 2G,,4.99,40,4
16,ProFormance ATB All-Terrain Pedal,,28.00,40,4
17,Shinoman Deluxe TX-30 Pedal,,45.00,60,4
18,Viscount CardioSport Sport Watch,,179.00,12,1
19,Viscount Tru-Beat Heart Transmitter,,47.00,20,1
20,Dog Ear Monster Grip Gloves,,15.00,30,1
21,Dog Ear Aero-Flow Floor Pump,,55.00,25,1
22,Pro-Sport 'Dillo Shades,,82.00,18,1
23,Ultra-Pro Rain Jacket,,95.61,30,3
24,StaDry Cycling Pants,,77.62,22,3
25,King Cobra Helmet,,139.00,30,1
26,Glide-O-Matic Cycling Helmet,,125.00,24,1
27,X-Pro All Weather Tires,,24.00,20,6
28,Turbo Twin Tires,,29.00,18,6
29,Ultra-2K Competition Tire,,34.00,22,6
30,Clear Shade 85-T Glasses,,45.00,14,1
31,True Grip Competition Gloves,,22.00,20,1
32,Kool-Breeze Rocket Top Jersey,,36.00,12,3
33,Wonder Wool Cycle Socks,,21.37,30,3
34,TransPort Bicycle Rack,,27.00,14,1
35,HP Deluxe Panniers,,39.00,10,1
36,Cosmic Elite Road Warrior Wheels,,165.00,22,4
37,AeroFlo ATB Wheels,,189.00,40,4
38,Cycle-Doc Pro Repair Stand,,166.00,12,1
39,Road Warrior Hitch Pack,,175.00,6,5
40,Ultimate Export 2G Car Rack,,180.00,8,5
